Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Azerbaijan,AZE,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.8597442,-0.795864399999999,-0.8083243,-0.6064243,-0.4254637,-0.353725199999999,-0.1263081,-0.135534799999999,-0.1558709,-0.0555998,-0.0570332999999999,-0.0569922999999999,-0.0543532
Azerbaijan,AZE,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.3145012,-0.6570897,-0.683856599999999,-0.483763999999999,-0.433564,-0.4941808,-0.5043466,-0.455635299999999,-0.3567438,-0.3373117,-0.5087721,-0.4888287,-0.542048099999999
Azerbaijan,AZE,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.7874494,-0.760613499999999,-0.7516124,-0.6655226,-0.6478778,-0.7053728,-0.6732404,-0.7127751,-0.6533544,-0.6725504,-0.6182094,-0.608585199999999,-0.5484749
Azerbaijan,AZE,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,-1.0195147,-1.026788,-1.0260348,-1.1753685,-1.1592198,-1.18726549999999,-1.2208691,-1.23463909999999,-1.2691213,-1.45978869999999,-1.4537297,-1.433342,-1.4304325
Azerbaijan,AZE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.4634625,-0.4419223,-0.489390799999999,-0.389969499999999,-0.2770165,-0.261817099999999,-0.216678799999999,-0.185369999999999,-0.2005079,-0.1045151,-0.1055885,-0.0594814,-0.0606320999999999
"Bahamas, The",BHS,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.4842,1.483393,1.4817162,1.4818436,1.3095259,1.0887958,1.0895206,1.0769219,1.1027809,1.2125503,1.2128533,1.2282597,1.2330855
"Bahamas, The",BHS,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.9780496,0.977426,0.9775831,0.9777585,0.7471619,0.7458537,0.7463085,0.7464561,0.7472668,0.748057,0.5873396,0.5886789,0.7093344
"Bahamas, The",BHS,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.9175646,0.9777309,0.9992333,0.9869744,0.8227482,0.7437356,0.7974457,0.8186672,0.7130765,0.6927555,0.7133519,0.7434332,0.8592816
"Bahamas, The",BHS,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.8743035,0.7880709,0.6533056,0.6510804,0.4786558,0.4869107,0.4454825,0.3770041,0.381433,0.376965,0.3141962,0.3484926,0.272063
"Bahamas, The",BHS,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,0.9652284,0.9349375,0.9363269,0.9324918,0.9374454,0.6214276,0.5087193,0.5292198,0.5155607,0.6241479,0.6238987,0.6714212,0.608717
"Bahamas, The",BHS,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6386137,0.5800603,0.5761701,0.4393561,0.3567767,0.1858547,0.2183789,0.0716726,0.1415783,-0.00398039999999999,-0.0114288999999999,-0.020375,-0.0671185
Bahrain,BHR,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.15202,0.1964302,0.1663109,0.197016,-0.0204446,0.0385922,-0.0877355,-0.143222,-0.140961,-0.0835445,-0.0925165999999999,0.210097,0.144834
Bahrain,BHR,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.3995029,0.4333329,0.3354941,0.3589139,0.4256973,0.44791,0.4226535,0.4227562,0.4181683,0.4361988,0.4205912,0.7183116,0.7297568
Bahrain,BHR,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.7371495,-1.1775267,-1.0354447,-1.2920542,-1.0441426,-0.9584379,-0.909807199999999,-1.0066263,-0.8677102,-0.603362,-0.5964745,-0.5041164,-0.482549599999999
Bahrain,BHR,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.1010185,-0.0253953,-0.1376475,-0.123284899999999,-0.1310885,0.0118928,-0.0230253,-0.0275196999999999,-0.0572436999999999,0.0073826,-0.110376599999999,0.0190676,0.0328686
Bahrain,BHR,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,-0.826753899999999,-1.1267284,-1.16779569999999,-1.2165799,-1.1899239,-1.0813101,-1.178604,-1.19495709999999,-1.28231949999999,-1.2689416,-1.26990729999999,-1.31637239999999,-1.31704889999999
Bahrain,BHR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.8816129,0.9001858,0.8032498,0.819964,0.6266024,0.7369814,0.5338814,0.4961675,0.4964201,0.5202512,0.5553824,0.7964885,0.8697953
Bangladesh,BGD,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.0218466,-1.0523775,-1.12133289999999,-1.1326018,-1.1845563,-1.0798121,-1.0667924,-1.062185,-1.0964787,-1.1006451,-1.07605779999999,-1.0928915,-1.17834859999999
Bangladesh,BGD,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.807076799999999,-0.8372577,-0.7988014,-0.773905699999999,-0.6851605,-0.6547007,-0.5337691,-0.573203,-0.6193938,-0.5970582,-0.7213698,-0.563899399999999,-0.62345
Bangladesh,BGD,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-1.4437712,-1.4544464,-1.4690337,-1.771799,-1.0510112,-1.331635,-1.3416192,-1.3289506,-1.02517179999999,-0.996755,-1.01518479999999,-1.0535518,-1.0954422
