Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Italy,ITA,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,25.2753210907052,25.037580006089,24.9061958207022,24.8211889709499,24.6796429994941,24.3794788546369,23.9349946521859,23.1998164600116,22.9897261360892,22.8054308787621,22.5673173171751,21.831822526204,21.4241558914263
Japan,JPN,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,12.1059867459627,11.6872128000153,11.5759803884027,11.3451601364137,11.2246554426031,10.8641813221806,10.4649389422466,10.2892208163606,10.162799903346,9.93230946039255,9.88143208529278,10.3519362892042,9.54297846201141
"Korea, Rep.",KOR,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,27.5783940093955,27.1156269478906,27.0946568689204,26.4707737373045,25.9975890354182,25.8513584185642,25.5062897716809,25.4032106995074,25.1202199761565,24.6369882462759,24.4281285848952,23.9056400346632,23.4516781029115
Netherlands,NLD,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,13.3762050956285,13.5784786433064,13.7484808385374,14.6362434257332,14.8504617976227,14.9812930529969,14.9226988674258,14.754565587975,14.7819580582765,14.6198405863595,15.8923821617533,15.812183599525,16.6549930410949
Norway,NOR,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,6.26175625791669,6.4188505659369,5.74561329294912,5.7239344545731,6.20289668390434,5.94096686706776,5.80484745208048,5.48099253474384,5.31958654359545,5.17276675026463,4.94013834233163,4.85995446175188,5.01366032083038
Poland,POL,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,27.5472314353112,27.3263717434776,26.79524967444,26.1533399996515,25.5819943844271,25.3967326034696,24.8082862918601,24.4145487865033,24.197324198206,23.8439387643135,24.3158676718173,22.8439772231825,21.6355997752853
Portugal,PRT,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,21.8321288734027,20.3081166812003,20.8343009773002,20.6365918480548,18.4673371300187,17.1707184808664,16.5455432021458,15.8495026567094,15.5125878851608,15.7547493204837,15.6941427868262,15.6139250519726,15.1910932986125
Slovak Republic,SVK,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,16.3167930619363,16.2830960656086,15.8101162756742,15.9052409125337,15.4763991078302,15.4991921374931,15.7818445734613,15.5774841616347,15.1542855536788,15.3705475769463,15.2617334817761,14.9387898643704,15.0074812022955
Spain,ESP,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,16.864980256912,16.4597719053848,17.0612877805369,17.4828051720092,17.9388877829959,17.40342173019,16.6753384364512,16.6931721975002,16.1005309246855,15.7441773669392,16.1348971046075,16.1338505923876,15.3741425648339
Sweden,SWE,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,11.7522237446046,11.2208240233698,11.253328484703,11.3920469780948,11.1369867189127,11.0602917630092,10.7925518556294,10.6608155386657,10.5193404972646,10.6505535199021,10.7245579735581,10.6443631594537,10.4526482740139
