isic_rev3_3,cpc2,probability_weight
"923","A4",.0908223
"923","A6",.0431576
"923","C1",.0247043
"923","G0",.1627107
"923","H0",.183063
"923","Y1",.0215372
"924","A6",.9314741
"924","G0",.0466821
"924","G1",.0218437
"930","A4",.4449004
"930","A6",.5168979
"930","B2",.0382017
"950","A0",.2041864
"950","A4",.134363
"950","A6",.1129272
"950","G0",.3559029
"950","H0",.1926205
"990","A6",.0801556
"990","C0",.2240604
"990","G0",.4482436
"990","G1",.0511707
"990","H0",.0855738
"990","Y1",.1107959
