cpc3,isic_rev3_4,probability_weight
"C30","2914",.2615274
"C30","3691",.6549998
"C40","2411",.7093155
"C40","2413",.0441576
"C40","2423",.2115609
"C40","3000",.0349659
"D01","1711",.3746731
"D01","1730",.1959375
"D01","2413",.0406687
"D01","2430",.0300416
"D01","2926",.3586791
"D02","1711",.8853601
"D02","1730",.0400269
"D02","2430",.074613
"D03","1730",.6971707
"D03","1912",.04938
"D03","2926",.2534494
"D04","1729",.0129237
"D04","1730",.7178382
"D04","2926",.2692381
"D05","1722",.0404678
"D05","1730",.8760098
"D05","2893",.0835224
"D06","1712",.3138363
"D06","1722",.0493545
"D06","1730",.4501219
"D06","2930",.1866873
"D07","1723",.1134
"D07","2430",.6810051
"D07","2511",.1827316
"D07","2695",.0228633
"D10","1730",1
"D21","2101",.8970916
"D21","2109",.0294256
"D21","2929",.0734827
"E01","2695",.23765
"E01","2699",.3673124
"E01","2710",.0223913
"E01","2915",.022341
"E01","3520",.3503052
"E02","2695",.317553
"E02","2921",.0341237
"E02","2924",.206602
"E02","4100",.1547619
"E02","4510",.2847588
"E02","6110",.0022006
"E03","4100",1
"E04","2021",.02192
"E04","2029",.0252175
"E04","2694",.0263982
"E04","2695",.8606728
"E04","2710",.0513799
"E04","4520",.0144117
"E05","2610",.0400145
"E05","2893",.0690031
"E05","2913",.1954438
"E05","2926",.0817374
"E05","3410",.2468645
"E05","3420",.0328838
"E05","3430",.273164
"E05","5510",.0289969
"E05","5520",.0318918
"E06","2029",.1517139
"E06","2429",.0337096
"E06","2520",.2036046
"E06","2610",.38429
"E06","2695",.0698462
"E06","2811",.0997717
"E06","2913",.0345266
"E06","4540",.0225376
"E21","1120",.2845215
"E21","2694",.0646328
"E21","2695",.025686
"E21","2911",.0955763
"E21","2915",.048605
"E21","2922",.0272386
"E21","2924",.3473129
"E21","4030",.0228533
"E21","4100",.0835735
"F01","2911",.8391916
"F01","2913",.0985021
"F01","4030",.0623063
"F02","2911",.6812162
"F02","2912",.0564762
"F02","2913",.0566608
"F02","3190",.2056468
"F03","2911",.758612
"F03","2913",.0307089
"F03","4010",.0215422
"F03","4100",.1891369
"F04","1120",.02782
"F04","2911",.4355274
"F04","2912",.4478278
"F04","2913",.0638391
"F04","4100",.0249857
"F05","2911",1
"F15","2911",1
"F16","2911",.0855978
"F16","2913",.9144022
"F17","2320",.0266526
"F17","4020",.9185135
"F17","5050",.0028919
"F17","6030",.051942
"F21","3150",.8548083
"F21","3320",.1451917
"F22","2813",.6033283
"F22","4030",.3597714
